feature,weight
cours,-0.03
well,3.469446951953614e-18
dollarnumb,0.13999999999999999
that,-0.08
com,0.05
an,-0.009999999999999997
registr,0.060000000000000005
announc,-0.09999999999999999
excit,0.009999999999999997
easi,0.09999999999999999
access,0.060000000000000005
biz,0.0
panel,0.0
net,0.04000000000000001
manag,-0.10999999999999999
e,0.05
rememb,0.01
same,-0.03
regist,-0.030000000000000006
much,0.020000000000000004
by,-0.04000000000000001
click,0.2700000000000001
can,-0.020000000000000004
httpaddr,0.18000000000000002
or,-0.05000000000000001
here,0.19000000000000003
from,-0.12999999999999998
number,0.25000000000000006
mail,0.03
fee,0.019999999999999997
remov,0.18000000000000002
it,-0.04
public,-0.019999999999999997
will,0.13999999999999999
full,-0.07
is,-0.020000000000000004
origin,-0.060000000000000005
and,-0.12999999999999998
ar,0.019999999999999997
biggest,-0.03
promot,0.05
compani,0.009999999999999997
at,-0.04
thi,0.060000000000000005
domain,-0.04
you,0.11999999999999998
for,-0.010000000000000004
just,0.009999999999999997
attract,0.03
right,-0.020000000000000004
were,-0.09999999999999999
avail,-0.07
control,-0.04
name,0.04
the,-0.020000000000000004
new,-0.009999999999999997
final,0.07
afford,-3.469446951953614e-18
price,0.15
as,-0.11999999999999998
of,-0.10999999999999999
these,0.09
easier,0.0
i,-0.15
includ,-0.010000000000000004
be,0.07
on,-0.13999999999999999
current,-0.04
extens,-0.03
us,-0.10999999999999999
recent,-0.030000000000000006
to,0.09999999999999999
gener,0.010000000000000004
in,0.019999999999999997
info,0.020000000000000004
your,0.19000000000000003
visit,0.07
administr,-0.10999999999999999
have,0.019999999999999997
now,0.09
address,-3.469446951953614e-18
todai,0.009999999999999997
approv,-0.04
futur,0.05
benefit,0.030000000000000006
sincer,0.12999999999999998
email,0.11999999999999998
more,-0.009999999999999997
further,0.09
brand,0.03
discount,-0.08
receiv,-0.020000000000000004
tax,0.03
mai,0.11999999999999998
interest,0.10999999999999999
attornei,0.01
do,-0.020000000000000004
present,0.15
also,-0.05
problem,-0.019999999999999997
legal,-0.05000000000000001
client,3.469446951953614e-18
size,0.11999999999999998
bank,0.03
licens,0.05
york,-0.060000000000000005
repli,0.09
process,0.12999999999999998
recogn,0.04
asset,-0.03
state,0.04
take,-0.04
assist,0.11999999999999998
servic,-0.010000000000000004
if,-0.08
monei,0.060000000000000005
our,0.13999999999999999
past,0.07
other,0.010000000000000004
fill,0.07
appli,-0.08
note,-0.10999999999999999
out,0.05
texa,-0.060000000000000005
kept,0.019999999999999997
oblig,-0.02
island,-0.07
appeal,0.07
main,0.03
ani,0.009999999999999997
west,-0.009999999999999997
dai,0.020000000000000004
agent,0.07
pleas,0.23000000000000004
there,-0.09999999999999999
onc,-0.04000000000000001
suppli,-0.020000000000000004
form,0.17
prepar,0.02
trust,-0.019999999999999997
help,0.05
phone,0.03
busi,0.09
fund,0.05
matter,0.060000000000000005
confidenti,0.03
nation,-0.010000000000000004
north,0.03
south,0.04
free,0.019999999999999997
word,-0.019999999999999997
immedi,0.08
offer,0.13999999999999999
up,3.469446951953614e-18
delai,-0.03
strictli,0.03
onli,0.060000000000000005
no,0.09999999999999999
regard,-3.469446951953614e-18
without,-0.010000000000000004
ow,0.019999999999999997
return,-0.07
both,0.05
applic,-0.009999999999999997
we,0.11999999999999998
below,0.12999999999999998
so,0.03
inform,0.060000000000000005
defens,0.02
advertis,-0.009999999999999997
contact,0.07
washington,-0.03
subject,-0.019999999999999997
california,-0.03
wish,-0.07
debt,0.060000000000000005
time,-0.010000000000000004
citizen,0.060000000000000005
direct,-3.469446951953614e-18
protect,-0.010000000000000004
with,0.07
thank,3.469446951953614e-18
nbsp,0.16
useless,0.0
post,-0.10999999999999999
open,-0.04
gari,-0.04
teledynam,-0.02
better,-0.03
comput,-0.05
robert,-0.02
innov,-0.05
me,0.07
thei,-0.04
answer,-0.04
m,-0.07
write,-0.09
sure,-0.020000000000000004
through,0.05000000000000001
commun,-0.07
harlei,-0.03
give,-0.03
r,0.03
system,-0.060000000000000005
but,-0.15
picasso,-0.02
sourc,-0.03
inc,-0.16
pablo,-0.01
murphi,-0.05
share,-0.04
lawrenc,-0.05
than,-0.060000000000000005
all,-3.469446951953614e-18
input,-0.03
thinkgeek,0.05
wai,-0.009999999999999997
principl,-0.019999999999999997
accept,0.019999999999999997
s,-0.060000000000000005
user,-0.060000000000000005
sever,0.07
side,0.030000000000000006
proper,-0.01
razor,-0.07
been,-0.009999999999999997
header,-0.04
instal,-0.08
script,3.469446951953614e-18
spam,-0.12999999999999998
option,-0.05
machin,-0.03
posit,0.03
good,-0.009999999999999997
seem,-0.11999999999999998
come,0.04000000000000001
look,0.05000000000000001
thing,-0.08
try,-0.03
befor,-0.019999999999999997
directori,3.469446951953614e-18
welcom,0.05000000000000001
chang,-0.08
everi,3.469446951953614e-18
wrote,-0.23000000000000007
test,-0.03
sponsor,-0.08
x,-0.009999999999999997
check,0.09
wed,-0.08
far,-0.03
set,-0.09
sf,0.009999999999999997
when,-0.09
ad,0.060000000000000005
emailaddr,0.019999999999999997
own,0.010000000000000004
heaven,0.05
oct,-0.019999999999999997
which,-0.09999999999999999
home,-3.469446951953614e-18
not,-0.09
flag,-0.02
pass,0.019999999999999997
modifi,-0.07
back,0.030000000000000006
send,0.10999999999999999
mount,-0.03
pretti,-0.04
last,-0.04
a,0.09
ve,0.030000000000000006
procmail,-0.03
respons,-0.009999999999999997
member,-0.060000000000000005
report,-0.04
am,0.07
provid,-0.03
spamassassin,-0.10999999999999999
brian,0.01
geek,0.03
list,0.030000000000000006
itself,3.469446951953614e-18
night,-0.04
my,-0.04
think,0.010000000000000004
suppos,-0.060000000000000005
stai,0.05
obviou,-0.03
littl,-0.020000000000000004
some,0.05
un,0.04
delet,0.009999999999999997
filter,-0.05
honest,-0.03
after,0.07
accord,-0.01
maintain,0.060000000000000005
exampl,-0.05
everyon,0.09999999999999999
need,-0.03
quot,-0.060000000000000005
miss,0.030000000000000006
linux,-0.019999999999999997
subscript,-0.060000000000000005
extra,0.02
refer,0.10999999999999999
hard,0.04
would,-0.09
count,-0.02
automat,0.019999999999999997
decid,0.019999999999999997
item,0.060000000000000005
link,-0.09999999999999999
rule,-0.03
singl,0.010000000000000004
what,-0.05
irish,0.019999999999999997
want,0.060000000000000005
group,-0.09
file,-0.060000000000000005
goe,-0.05
manual,-0.03
messag,-0.10999999999999999
t,0.019999999999999997
find,-0.05
doesn,-0.05
isn,-0.07
sai,-0.09999999999999999
notic,-0.060000000000000005
d,-0.019999999999999997
dig,0.0
exact,0.01
low,0.009999999999999997
run,-0.09
then,-0.009999999999999997
such,-0.05000000000000001
around,-0.04
wa,3.469446951953614e-18
turn,-0.07
solicit,0.009999999999999997
account,-0.03
ever,0.09999999999999999
base,-0.03
who,-0.03
author,-0.08
dollar,0.09999999999999999
easili,-0.010000000000000004
georg,0.02
partner,-0.030000000000000006
oper,0.010000000000000004
satisfi,-0.01
sinc,-0.08
god,0.0
although,-0.04
over,0.009999999999999997
unit,-3.469446951953614e-18
hundr,0.060000000000000005
dure,-0.09999999999999999
henc,0.05
parti,0.060000000000000005
soon,0.04
numberm,0.019999999999999997
colleagu,0.0
ha,-0.05
prohibit,-0.04
review,-0.16
great,0.020000000000000004
how,-0.030000000000000006
nigeria,0.03
best,0.09
civil,-0.04
propos,0.009999999999999997
committe,-0.03
abov,0.04
shall,0.07
due,0.04
follow,-0.030000000000000006
know,0.03
discuss,0.009999999999999997
fax,0.08
execut,-0.08
payment,0.07
expens,0.05
center,0.010000000000000004
front,0.009999999999999997
bless,0.01
million,0.05
recommend,0.03
law,0.03
